service_date,day_type,bus,rail_boardings,total_rides
12/26/2012,W,616049,428605,1044654
07/22/2022,W,426586,323821,750407
03/23/2022,W,411053,285528,696581
01/28/2013,W,1000004,718545,1718549
04/12/2016,W,886265,777658,1663923
03/05/2006,U,363219,208605,571824
03/24/2021,W,320929,168422,489351
05/13/2012,U,455430,321345,776775
02/08/2013,W,994675,723430,1718105
05/02/2014,W,981085,794448,1775533
03/17/2018,A,471682,607823,1079505
09/18/2012,W,1009476,774593,1784069
01/21/2005,W,968823,591645,1560468
04/20/2020,W,225938,79017,304955
11/11/2006,A,591773,376391,968164
04/17/2022,U,183837,139738,323575
01/19/2006,W,983087,634043,1617130
02/16/2021,W,206197,114830,321027
12/31/2010,W,609114,391713,1000827
10/08/2001,W,802729,531294,1334023
06/19/2010,A,673052,472662,1145714
02/16/2003,U,365939,188276,554215
05/08/2015,W,916218,780602,1696820
05/24/2013,W,1010765,676692,1687457
07/16/2002,W,946077,621832,1567909
07/19/2008,A,675968,342834,1018802
12/22/2016,W,747188,635174,1382362
12/08/2019,U,347917,286023,633940
01/27/2008,U,413581,213177,626758
10/05/2014,U,420636,353400,774036
08/11/2006,W,909305,638056,1547361
09/09/2015,W,966510,821823,1788333
11/04/2020,W,306904,151147,458051
07/26/2018,W,758033,781151,1539184
02/02/2023,W,488230,339244,827474
12/30/2010,W,754297,524961,1279258
05/27/2010,W,995700,697901,1693601
08/09/2010,W,902342,647949,1550291
10/28/2024,W,611041,389359,1000400
11/14/2007,W,1073985,652294,1726279
12/17/2012,W,953565,683683,1637248
12/26/2024,W,366721,225335,592056
08/01/2016,W,805970,779020,1584990
09/10/2006,U,379770,245048,624818
12/21/2019,A,454167,356991,811158
06/22/2019,A,485555,468890,954445
01/28/2003,W,952120,598146,1550266
10/08/2016,A,537610,546072,1083682
04/18/2004,U,423705,227626,651331
01/18/2011,W,991055,678327,1669382
12/10/2006,U,406068,237226,643294
11/19/2022,A,253918,231052,484970
01/25/2022,W,352155,234112,586267
03/07/2014,W,958096,769821,1727917
11/20/2006,W,1022880,638117,1660997
08/12/2018,U,372421,371962,744383
04/14/2021,W,320689,173838,494527
09/30/2020,W,320186,169305,489491
08/29/2017,W,783337,763274,1546611
07/19/2006,W,911699,687896,1599595
12/20/2024,W,509530,326711,836241
08/09/2023,W,501770,394563,896333
12/12/2013,W,864926,722404,1587330
09/20/2009,U,480835,292572,773407
04/16/2006,U,324770,181980,506750
02/24/2024,A,345189,225233,570422
05/07/2001,W,1007381,598338,1605719
09/23/2021,W,464140,327671,791811
04/06/2024,A,397658,286304,683962
10/15/2010,W,1067602,753653,1821255
08/13/2003,W,875224,614427,1489651
03/04/2024,W,556051,334107,890158
01/09/2004,W,929117,560519,1489636
09/02/2014,W,952266,773307,1725573
12/11/2018,W,817284,731059,1548343
01/09/2016,A,469539,391597,861136
08/29/2001,W,901782,625324,1527106
05/28/2016,A,500775,532343,1033118
11/23/2010,W,1006493,698730,1705223
01/13/2017,W,771359,698254,1469613
06/12/2013,W,969474,718831,1688305
01/08/2003,W,1011812,592758,1604570
05/21/2007,W,1039954,614276,1654230
04/09/2021,W,330542,186985,517527
10/10/2011,W,857528,669173,1526701
11/24/2019,U,358133,301849,659982
01/28/2012,A,621329,419586,1040915
09/24/2016,A,539037,529457,1068494
01/25/2020,A,408051,320905,728956
05/27/2019,U,298987,256757,555744
12/15/2004,W,974391,584961,1559352
09/11/2007,W,1108582,679973,1788555
11/06/2023,W,568672,375471,944143
12/26/2009,A,464351,237093,701444
04/14/2022,W,408379,316347,724726
10/17/2004,U,444240,243898,688138
09/21/2006,W,1044501,696162,1740663
02/21/2017,W,848951,741773,1590724
04/28/2015,W,941909,789018,1730927
03/11/2021,W,318121,165057,483178
07/14/2002,U,433166,239865,673031
06/09/2023,W,476837,381247,858084
06/27/2021,U,219887,176898,396785
11/17/2017,W,836442,779012,1615454
01/06/2016,W,853904,733167,1587071
09/04/2010,A,671418,475332,1146750
12/08/2024,U,310160,216292,526452
04/15/2019,W,694149,679904,1374053
01/14/2014,W,923401,761893,1685294
09/05/2016,U,399846,347259,747105
10/16/2015,W,936818,855252,1792070
07/10/2004,A,593638,305695,899333
09/06/2015,U,452841,452445,905286
02/10/2013,U,392914,278417,671331
12/16/2020,W,269375,138422,407797
01/16/2019,W,800537,728048,1528585
08/05/2011,W,968013,822093,1790106
07/04/2008,U,606974,421170,1028144
01/07/2015,W,508815,509075,1017890
01/14/2002,W,985931,593642,1579573
06/11/2018,W,781557,724255,1505812
01/24/2014,W,763075,680260,1443335
06/18/2016,A,526402,520856,1047258
09/11/2004,A,637407,355835,993242
12/11/2017,W,807879,706163,1514042
09/27/2023,W,583749,427267,1011016
10/02/2017,W,877992,767540,1645532
05/18/2021,W,338267,195305,533572
05/09/2022,W,456324,296458,752782
06/10/2021,W,374697,246542,621239
01/28/2019,W,668192,678810,1347002
04/07/2019,U,331229,276992,608221
03/03/2021,W,333410,163566,496976
04/17/2011,U,452131,306186,758317
02/26/2003,W,939161,588630,1527791
04/12/2009,U,423274,228889,652163
06/19/2018,W,779092,768531,1547623
01/05/2010,W,970860,589044,1559904
05/04/2016,W,879217,767760,1646977
05/24/2002,W,995434,576461,1571895
04/04/2015,A,582015,427101,1009116
03/22/2003,A,577660,292329,869989
04/18/2007,W,1030970,617779,1648749
05/22/2017,W,817334,744257,1561591
03/10/2021,W,312074,161736,473810
08/04/2004,W,867932,556467,1424399
01/24/2006,W,972893,634204,1607097
09/06/2022,W,523472,365689,889161
02/11/2016,W,866884,752703,1619587
11/15/2016,W,881225,797235,1678460
11/26/2008,W,1032378,599978,1632356
09/01/2004,W,973679,597386,1571065
05/30/2007,W,1055384,637763,1693147
04/19/2006,W,984239,652275,1636514
07/25/2001,W,874776,612547,1487323
08/12/2010,W,908352,666665,1575017
06/11/2005,A,647313,413642,1060955
12/28/2016,W,611176,537443,1148619
06/17/2023,A,372865,295909,668774
08/31/2003,U,396860,242605,639465
09/21/2005,W,1085278,685975,1771253
05/09/2003,W,992211,616706,1608917
05/07/2007,W,1059535,610376,1669911
02/28/2019,W,783920,714700,1498620
08/13/2012,W,862334,675894,1538228
10/27/2023,W,503840,373004,876844
12/04/2007,W,1082140,625524,1707664
01/09/2017,W,781139,692776,1473915
06/19/2011,U,479157,352290,831447
08/29/2023,W,585643,418817,1004460
07/15/2007,U,489228,289728,778956
11/29/2010,W,974393,658026,1632419
04/29/2013,W,1009306,717625,1726931
09/11/2017,W,861907,767744,1629651
12/11/2008,W,1059298,653239,1712537
06/05/2005,U,448366,236960,685326
02/26/2018,W,825842,718649,1544491
03/03/2006,W,1021045,620890,1641935
08/28/2008,W,1022254,678635,1700889
07/25/2009,A,693104,467927,1161031
10/07/2007,U,450253,394647,844900
04/17/2015,W,936814,818272,1755086
08/09/2015,U,414942,384961,799903
08/15/2007,W,906121,603458,1509579
06/07/2006,W,1012230,666040,1678270
01/17/2020,W,737073,687789,1424862
07/18/2012,W,947611,737720,1685331
03/14/2021,U,163299,97387,260686
08/11/2022,W,444736,337937,782673
07/19/2016,W,795162,797424,1592586
03/05/2007,W,861145,558483,1419628
10/30/2013,W,967902,791183,1759085
01/06/2010,W,980962,598511,1579473
06/27/2014,W,879565,793688,1673253
05/01/2016,U,376131,334275,710406
06/03/2014,W,936306,812230,1748536
06/01/2003,U,422827,245291,668118
04/10/2007,W,1048978,629888,1678866
05/14/2014,W,916259,749500,1665759
07/19/2003,A,619480,324535,944015
02/28/2014,W,936301,745915,1682216
03/02/2004,W,992418,597880,1590298
07/26/2012,W,945792,720070,1665862
11/30/2002,A,525319,255100,780419
11/24/2005,U,265869,149351,415220
09/15/2009,W,1115027,729171,1844198
03/09/2019,A,409779,326686,736465
08/12/2005,W,929636,606537,1536173
09/08/2011,W,1058730,770455,1829185
09/28/2020,W,299874,158980,458854
07/03/2007,W,1048504,848262,1896766
06/05/2014,W,910818,797899,1708717
03/01/2015,U,383971,293964,677935
10/27/2003,W,990268,620687,1610955
09/19/2020,A,240028,135343,375371
01/13/2024,A,286037,183824,469861
10/25/2001,W,947047,618401,1565448
08/13/2021,W,396567,277082,673649
01/28/2006,A,568287,314425,882712
