service_date,day_type,bus,rail_boardings,total_rides
01/17/2012,W,1016429,725950,1742379
11/21/2018,W,649866,605419,1255285
03/04/2017,A,487500,401568,889068
10/27/2004,W,1034962,628723,1663685
11/12/2010,W,951645,714781,1666426
08/18/2010,W,935381,676787,1612168
10/18/2022,W,499407,372296,871703
02/18/2020,W,815098,711305,1526403
11/12/2019,W,756604,724448,1481052
10/15/2024,W,582685,444249,1026934
01/27/2004,W,906997,586852,1493849
09/05/2018,W,854763,785143,1639906
07/06/2007,W,956208,696508,1652716
11/19/2005,A,643136,395851,1038987
07/28/2015,W,827024,782394,1609418
01/10/2009,A,521906,304657,826563
07/24/2018,W,766503,775343,1541846
12/08/2010,W,968593,662398,1630991
08/01/2018,W,778530,757280,1535810
06/05/2013,W,1024709,716938,1741647
01/04/2012,W,839010,626372,1465382
04/09/2017,U,388435,336277,724712
12/27/2004,W,650769,386604,1037373
09/16/2002,W,1049667,617848,1667515
01/07/2014,W,489810,468681,958491
04/17/2013,W,915006,711500,1626506
02/19/2024,W,417871,271357,689228
11/02/2007,W,1019370,640204,1659574
11/08/2014,A,563782,492608,1056390
07/30/2012,W,907631,705435,1613066
06/11/2008,W,1100852,696784,1797636
02/02/2011,W,219234,209287,428521
03/13/2009,W,1075419,656181,1731600
08/24/2021,W,382748,259641,642389
01/12/2007,W,973391,603456,1576847
06/04/2008,W,1114498,656098,1770596
08/20/2022,A,276088,263681,539769
04/08/2020,W,197789,88894,286683
09/06/2023,W,578259,425429,1003688
10/07/2019,W,845146,748413,1593559
06/17/2018,U,351730,324959,676689
05/10/2008,A,742741,326525,1069266
12/25/2006,U,242369,112855,355224
08/06/2008,W,1020516,684080,1704596
09/26/2016,W,884989,787408,1672397
11/09/2016,W,865500,817596,1683096
05/30/2018,W,793348,716886,1510234
07/11/2013,W,958922,787568,1746490
07/05/2020,U,166998,84977,251975
10/25/2007,W,1072949,672155,1745104
06/15/2007,W,1018966,670995,1689961
10/30/2012,W,1012512,765043,1777555
05/26/2004,W,970166,583785,1553951
07/11/2001,W,960775,614294,1575069
06/25/2013,W,888128,694726,1582854
05/31/2009,U,511749,289239,800988
02/11/2017,A,497589,405211,902800
11/26/2002,W,959679,611673,1571352
07/02/2002,W,955991,621541,1577532
10/09/2016,U,368515,528189,896704
01/17/2023,W,496926,344762,841688
07/13/2004,W,923012,571480,1494492
12/23/2022,W,154576,107314,261890
08/19/2016,W,743211,718317,1461528
11/18/2014,W,846179,755916,1602095
03/16/2020,W,493179,284844,778023
07/11/2014,W,839507,817078,1656585
12/29/2024,U,231003,158657,389660
04/04/2012,W,954947,724726,1679673
07/12/2011,W,953976,695840,1649816
09/25/2002,W,1064437,666345,1730782
01/03/2007,W,871683,561287,1432970
11/10/2011,W,970822,755282,1726104
10/15/2008,W,1115651,694445,1810096
02/14/2006,W,1044587,644218,1688805
12/25/2004,U,213912,87992,301904
09/21/2010,W,1068204,750363,1818567
09/23/2002,W,1055515,637798,1693313
05/21/2008,W,1108988,647342,1756330
04/10/2008,W,994944,620427,1615371
02/06/2010,A,616747,354178,970925
11/05/2009,W,1114979,710657,1825636
02/07/2019,W,789342,732351,1521693
06/30/2019,U,342891,473462,816353
09/11/2013,W,1047538,783710,1831248
05/04/2008,U,536640,245821,782461
11/06/2005,U,425669,239193,664862
12/25/2021,A,101622,63575,165197
08/31/2019,A,482463,428658,911121
07/15/2003,W,874304,618204,1492508
02/14/2015,A,514916,380652,895568
05/31/2021,U,194901,147880,342781
11/10/2008,W,1000224,656658,1656882
07/29/2023,A,364824,286441,651265
04/05/2017,W,755345,732462,1487807
03/19/2015,W,928929,771127,1700056
12/06/2014,A,569561,490865,1060426
09/12/2016,W,886146,784139,1670285
12/31/2020,W,254787,114338,369125
05/05/2011,W,1045556,720006,1765562
12/31/2004,W,633996,364015,998011
07/24/2012,W,902916,701367,1604283
06/06/2004,U,433813,247799,681612
06/16/2015,W,911783,818185,1729968
05/10/2010,W,982426,680635,1663061
12/15/2005,W,972435,621555,1593990
05/05/2016,W,898541,818665,1717206
06/04/2006,U,457674,274564,732238
09/14/2003,U,386248,235410,621658
10/27/2007,A,678861,330492,1009353
08/20/2004,W,868398,568661,1437059
12/17/2005,A,576780,326028,902808
10/18/2020,U,150496,92227,242723
09/15/2008,W,1140716,692029,1832745
05/09/2005,W,960649,593537,1554186
09/13/2021,W,450527,296554,747081
06/13/2022,W,433682,306621,740303
02/09/2012,W,1065885,741959,1807844
03/30/2019,A,428233,346980,775213
08/24/2018,W,692290,698828,1391118
10/16/2003,W,1013203,650877,1664080
10/18/2023,W,595182,439266,1034448
09/05/2006,W,1056228,680476,1736704
02/28/2021,U,158200,87008,245208
09/13/2007,W,1073415,664991,1738406
01/15/2016,W,858032,742622,1600654
12/29/2004,W,726475,456993,1183468
08/02/2012,W,956268,736721,1692989
12/12/2010,U,330377,249350,579727
07/20/2012,W,950944,732949,1683893
08/08/2007,W,911127,598593,1509720
06/02/2009,W,1036601,635007,1671608
07/11/2018,W,772083,765257,1537340
10/14/2006,A,622249,386404,1008653
02/06/2009,W,1090042,639394,1729436
05/28/2001,U,392906,191639,584545
07/14/2014,W,803242,716634,1519876
09/04/2016,U,427194,421479,848673
05/27/2008,W,1026141,626634,1652775
11/05/2019,W,855055,769233,1624288
02/14/2020,W,674960,628729,1303689
04/23/2016,A,503944,445282,949226
11/27/2020,W,221878,106692,328570
01/03/2021,U,140440,72391,212831
12/10/2005,A,545442,331523,876965
02/02/2003,U,415598,192294,607892
06/19/2007,W,954392,618913,1573305
11/13/2014,W,866929,789154,1656083
04/21/2013,U,441267,313744,755011
11/09/2013,A,589432,507077,1096509
11/15/2006,W,1039976,661667,1701643
09/08/2013,U,459104,371781,830885
08/24/2022,W,509522,369646,879168
07/05/2022,W,400714,283797,684511
07/11/2003,W,907669,615433,1523102
08/30/2009,U,505635,302535,808170
08/15/2006,W,888214,618372,1506586
07/01/2005,W,945326,662564,1607890
04/14/2016,W,863513,805071,1668584
10/19/2021,W,467179,323286,790465
08/04/2008,W,929003,636533,1565536
10/31/2017,W,843988,758455,1602443
08/08/2017,W,761850,735234,1497084
07/09/2016,A,536269,515738,1052007
05/30/2002,W,990460,606972,1597432
04/15/2011,W,966032,691935,1657967
03/31/2008,W,1008940,622143,1631083
09/11/2009,W,1114404,743271,1857675
12/06/2018,W,820745,757102,1577847
05/19/2003,W,961806,579665,1541471
09/03/2015,W,907453,800062,1707515
12/15/2017,W,780679,700482,1481161
05/08/2010,A,608071,379017,987088
06/03/2018,U,383320,342776,726096
08/30/2021,W,452128,283312,735440
05/21/2013,W,1013059,689412,1702471
10/30/2019,W,733054,721966,1455020
03/07/2001,W,1028462,616666,1645128
08/02/2006,W,872246,628299,1500545
02/02/2017,W,829125,736551,1565676
02/29/2008,W,1049773,618230,1668003
02/15/2004,U,368733,191759,560492
05/07/2024,W,572181,412646,984827
10/04/2022,W,539617,387120,926737
05/26/2010,W,1004824,688396,1693220
09/24/2014,W,961323,833600,1794923
02/05/2009,W,1064605,643718,1708323
03/03/2002,U,331715,174890,506605
04/01/2013,W,980489,708026,1688515
06/28/2005,W,870601,632227,1502828
01/09/2008,W,1023189,604515,1627704
09/10/2003,W,1019275,645858,1665133
04/20/2024,A,406861,279746,686607
07/21/2008,W,1024212,635587,1659799
06/12/2005,U,446785,287623,734408
04/03/2010,A,583966,340842,924808
11/20/2016,U,345895,315179,661074
02/12/2011,A,663253,415060,1078313
05/30/2010,U,480340,367778,848118
04/18/2013,W,811655,693760,1505415
01/09/2012,W,968136,683105,1651241
11/24/2003,W,897941,583860,1481801
02/15/2022,W,434683,282736,717419
10/08/2005,A,638239,378215,1016454
10/21/2001,U,433014,213638,646652
08/13/2010,W,918501,665794,1584295
05/19/2009,W,1072111,650975,1723086
04/04/2024,W,575373,401414,976787
03/07/2002,W,1008102,594952,1603054
10/06/2017,W,841999,805746,1647745
04/03/2014,W,917123,765726,1682849
04/21/2022,W,455139,339779,794918
07/13/2003,U,421579,257051,678630
03/16/2003,U,429227,235438,664665
01/16/2016,A,486797,404212,891009
06/10/2003,W,940459,596552,1537011
08/17/2004,W,847772,547281,1395053
03/16/2013,A,626782,610526,1237308
08/17/2012,W,985722,734329,1720051
03/19/2019,W,812217,727732,1539949
05/08/2003,W,984692,605164,1589856
11/24/2020,W,264500,135119,399619
08/24/2005,W,909467,616129,1525596
11/14/2018,W,820013,766177,1586190
08/06/2002,W,955681,592722,1548403
09/19/2005,W,1033841,657717,1691558
03/23/2003,U,410745,215626,626371
05/26/2001,A,512958,269276,782234
05/24/2021,W,338290,196524,534814
02/02/2020,U,352056,253149,605205
02/17/2022,W,365062,260175,625237
02/11/2005,W,999975,566136,1566111
11/23/2004,W,1019132,616805,1635937
05/19/2001,A,645603,315487,961090
04/14/2006,W,804781,551524,1356305
08/04/2024,U,330850,304125,634975
03/24/2012,A,641412,430070,1071482
05/16/2017,W,843103,768941,1612044
10/21/2015,W,955633,882188,1837821
10/06/2022,W,528937,407379,936316
08/24/2008,U,547427,295072,842499
05/23/2022,W,456515,297901,754416
11/23/2017,U,263654,208426,472080
11/08/2010,W,1046515,709569,1756084
05/10/2017,W,821006,736258,1557264
08/02/2019,W,740366,804952,1545318
10/29/2011,A,665331,469295,1134626
09/24/2018,W,829917,806181,1636098
06/05/2018,W,826465,778366,1604831
03/22/2013,W,1003565,721149,1724714
05/22/2004,A,571606,316714,888320
02/03/2013,U,396422,271153,667575
10/18/2013,W,1024958,784891,1809849
03/21/2009,A,684551,377094,1061645
07/07/2014,W,821674,704301,1525975
02/07/2005,W,987016,578699,1565715
05/14/2013,W,1006636,750210,1756846
08/04/2016,W,783253,755236,1538489
06/10/2002,W,944065,583512,1527577
06/19/2009,W,868477,622117,1490594
08/22/2024,W,529364,377301,906665
03/23/2002,A,617210,290118,907328
03/31/2013,U,402842,267293,670135
08/02/2022,W,451890,335737,787627
03/25/2009,W,1052157,625381,1677538
01/05/2022,W,261752,177105,438857
04/05/2021,W,313426,166404,479830
09/27/2008,A,753562,409500,1163062
05/11/2014,U,402497,321063,723560
01/03/2017,W,690503,650650,1341153
12/04/2016,U,333825,312904,646729
03/16/2012,W,1044828,774035,1818863
07/08/2015,W,848028,813381,1661409
06/10/2007,U,466294,291979,758273
04/13/2022,W,375870,290641,666511
07/11/2006,W,873419,605343,1478762
09/05/2001,W,1047878,644950,1692828
11/06/2018,W,836999,764653,1601652
11/29/2006,W,976231,634505,1610736
04/18/2011,W,861574,655013,1516587
03/21/2004,U,365502,189403,554905
09/18/2001,W,1039365,626518,1665883
03/02/2001,W,1062234,611578,1673812
10/26/2013,A,578216,492032,1070248
07/09/2011,A,688403,487196,1175599
03/23/2011,W,1000324,667467,1667791
09/22/2013,U,445308,368372,813680
06/18/2010,W,940534,693973,1634507
09/08/2015,W,885886,756110,1641996
02/02/2002,A,614544,273954,888498
05/04/2015,W,933337,756442,1689779
11/09/2003,U,383993,221796,605789
11/26/2014,W,738720,652762,1391482
10/14/2002,W,806818,542057,1348875
12/27/2008,A,510369,254291,764660
11/18/2016,W,819907,792361,1612268
05/03/2003,A,645503,335590,981093
07/23/2007,W,937452,613805,1551257
07/04/2024,U,319593,237409,557002
02/01/2019,W,683059,648091,1331150
08/22/2009,A,713225,393634,1106859
08/12/2014,W,772713,719699,1492412
12/28/2008,U,397897,219334,617231
03/05/2001,W,863086,549759,1412845
06/27/2004,U,430542,324978,755520
03/26/2020,W,211746,100860,312606
07/20/2006,W,827202,644150,1471352
02/15/2002,W,1007654,589737,1597391
08/07/2012,W,939745,710734,1650479
06/26/2013,W,866326,690875,1557201
09/11/2014,W,953091,833378,1786469
02/16/2011,W,1050045,709634,1759679
12/23/2019,W,601685,501524,1103209
09/13/2018,W,851071,821484,1672555
09/30/2017,A,524516,482974,1007490
08/16/2004,W,836413,531860,1368273
07/03/2004,A,587961,418005,1005966
02/20/2006,W,681948,453199,1135147
09/04/2003,W,1040002,652383,1692385
06/20/2018,W,741682,763084,1504766
10/28/2008,W,1129560,690269,1819829
09/19/2013,W,1000885,791208,1792093
10/29/2016,A,539098,627116,1166214
07/06/2013,A,619632,463509,1083141
12/26/2006,W,652808,377449,1030257
03/02/2018,W,838965,719445,1558410
02/04/2001,U,404212,178398,582610
05/27/2018,U,382202,375810,758012
11/30/2023,W,559855,396342,956197
11/30/2013,A,594111,419067,1013178
06/02/2005,W,1015376,603865,1619241
04/29/2003,W,958977,595629,1554606
11/04/2013,W,978017,788454,1766471
01/03/2023,W,383247,275846,659093
05/23/2017,W,799986,753184,1553170
08/22/2012,W,993443,741288,1734731
02/08/2012,W,1069324,738273,1807597
10/14/2021,W,466987,336464,803451
11/30/2024,A,308864,217565,526429
11/18/2018,U,339408,316014,655422
12/04/2012,W,1067467,747543,1815010
10/12/2013,A,597479,497092,1094571
07/24/2007,W,935763,624166,1559929
11/22/2004,W,1018065,606086,1624151
10/07/2011,W,1074577,783590,1858167
07/18/2001,W,935427,612765,1548192
02/20/2023,W,371110,251523,622633
05/13/2018,U,335726,306051,641777
01/02/2016,A,448859,365509,814368
06/22/2016,W,707452,755165,1462617
02/08/2007,W,948308,591797,1540105
10/10/2002,W,1072954,655002,1727956
07/04/2007,U,486961,349716,836677
05/20/2002,W,994112,582646,1576758
07/05/2021,U,237811,178415,416226
03/18/2021,W,293346,160989,454335
02/18/2015,W,833785,707746,1541531
01/07/2005,W,915274,554769,1470043
02/14/2016,U,339238,314191,653429
05/21/2015,W,921476,784762,1706238
07/23/2001,W,854318,574685,1429003
03/29/2019,W,764086,667916,1432002
07/04/2010,U,517771,431068,948839
09/29/2014,W,934648,793644,1728292
02/14/2021,U,121070,73603,194673
07/21/2020,W,297659,148632,446291
11/22/2024,W,583958,431451,1015409
09/23/2023,A,381816,312772,694588
06/15/2010,W,948177,686852,1635029
10/21/2018,U,353981,332004,685985
01/10/2008,W,998489,602398,1600887
01/14/2004,W,956180,591625,1547805
08/19/2020,W,317835,158653,476488
09/14/2002,A,642689,327322,970011
08/16/2001,W,800887,581402,1382289
04/15/2014,W,844484,734464,1578948
09/09/2002,W,1071206,630453,1701659
06/10/2009,W,1010707,655620,1666327
07/29/2017,A,496951,462430,959381
10/06/2004,W,1049585,633595,1683180
09/28/2004,W,1032855,651704,1684559
09/02/2024,U,325776,239695,565471
10/11/2015,U,400140,558033,958173
12/20/2018,W,762587,682043,1444630
01/17/2015,A,539500,417756,957256
06/19/2021,A,276925,238075,515000
05/20/2017,A,441093,396705,837798
06/18/2019,W,783381,747919,1531300
06/16/2011,W,960885,741999,1702884
10/24/2013,W,1007402,810665,1818067
03/16/2023,W,499382,360728,860110
02/14/2008,W,1074632,640598,1715230
12/12/2005,W,974895,603601,1578496
09/17/2017,U,386719,379480,766199
01/22/2003,W,912033,572491,1484524
03/17/2014,W,932779,763579,1696358
04/02/2005,A,663367,322162,985529
07/20/2023,W,502681,414002,916683
06/11/2019,W,812806,748133,1560939
02/16/2012,W,1058911,736170,1795081
06/17/2022,W,438575,356445,795020
04/03/2017,W,840610,743301,1583911
12/26/2023,W,360458,208665,569123
03/08/2018,W,813217,734447,1547664
12/22/2013,U,374537,310920,685457
07/11/2007,W,973860,629790,1603650
10/16/2019,W,845543,782133,1627676
10/25/2008,A,718718,391521,1110239
08/11/2013,U,459030,365118,824148
09/30/2011,W,1066348,757321,1823669
09/05/2008,W,1171756,698545,1870301
08/06/2017,U,376669,430711,807380
05/01/2007,W,1096741,680365,1777106
09/05/2020,A,239660,134087,373747
04/19/2017,W,811178,757251,1568429
02/22/2023,W,445175,320183,765358
08/24/2015,W,824140,774207,1598347
08/05/2010,W,949218,698256,1647474
09/08/2014,W,956395,786501,1742896
09/02/2013,U,454573,344582,799155
05/15/2003,W,971525,598384,1569909
01/14/2001,U,373091,174842,547933
05/16/2006,W,994913,648507,1643420
09/14/2023,W,587439,437320,1024759
06/08/2016,W,866785,791667,1658452
11/13/2005,U,416141,247977,664118
10/21/2023,A,364186,309900,674086
03/12/2019,W,816229,729476,1545705
05/03/2022,W,427088,304189,731277
06/29/2017,W,747180,778070,1525250
10/31/2014,W,894082,800198,1694280
08/19/2024,W,498548,335708,834256
09/05/2015,A,571868,528694,1100562
10/04/2020,U,179954,100387,280341
07/22/2004,W,858154,598156,1456310
03/25/2020,W,229414,106913,336327
05/18/2019,A,448115,388373,836488
01/06/2024,A,308872,196983,505855
07/03/2005,U,559176,517599,1076775
10/13/2006,W,1014747,680633,1695380
02/11/2014,W,923651,743715,1667366
09/27/2021,W,458134,298532,756666
02/14/2013,W,1054969,758213,1813182
12/08/2012,A,642192,467324,1109516
07/28/2022,W,448728,380517,829245
08/24/2003,U,408305,227185,635490
06/07/2002,W,1036716,606193,1642909
01/08/2023,U,209397,145377,354774
04/21/2001,A,603039,293701,896740
06/12/2022,U,224348,193587,417935
06/17/2024,W,500089,363300,863389
09/01/2016,W,847144,784336,1631480
09/11/2016,U,397693,354732,752425
01/10/2013,W,964506,693642,1658148
02/24/2005,W,982207,599568,1581775
07/05/2012,W,833954,628259,1462213
08/14/2023,W,408865,290559,699424
08/06/2004,W,918834,576089,1494923
01/18/2001,W,1006996,618832,1625828
10/02/2022,U,230938,198343,429281
05/12/2019,U,336476,298999,635475
07/19/2015,U,440059,443655,883714
10/31/2021,U,203393,183268,386661
06/05/2001,W,935443,606051,1541494
02/25/2004,W,967236,596639,1563875
12/06/2015,U,411174,360066,771240
04/20/2005,W,963837,600039,1563876
03/10/2011,W,1019921,707389,1727310
08/06/2003,W,883115,581895,1465010
05/13/2021,W,347914,205589,553503
05/16/2003,W,999630,589910,1589540
07/30/2017,U,385002,349892,734894
10/26/2001,W,981933,613047,1594980
11/20/2013,W,974233,788003,1762236
01/02/2023,U,254124,165797,419921
02/25/2014,W,933471,752744,1686215
05/19/2015,W,902867,759919,1662786
02/26/2015,W,857402,755359,1612761
10/03/2009,A,715566,415308,1130874
09/16/2024,W,607976,412568,1020544
11/30/2018,W,840494,760471,1600965
09/07/2013,A,634809,510149,1144958
03/19/2006,U,413687,225740,639427
05/09/2001,W,1041324,619928,1661252
10/18/2017,W,888806,831089,1719895
11/10/2010,W,1065459,729087,1794546
01/06/2003,W,982617,574868,1557485
10/02/2014,W,960602,820764,1781366
04/01/2012,U,477703,321629,799332
09/25/2010,A,647044,486430,1133474
05/04/2006,W,1047587,665514,1713101
01/30/2001,W,982046,607858,1589904
10/08/2012,W,977879,713083,1690962
02/19/2021,W,287852,156832,444684
08/18/2004,W,845492,550495,1395987
08/19/2005,W,934667,602164,1536831
06/30/2004,W,906761,639979,1546740
02/04/2020,W,806946,710072,1517018
08/24/2019,A,499355,424284,923639
04/05/2012,W,933666,750000,1683666
01/11/2009,U,390151,219600,609751
02/15/2010,W,722405,483572,1205977
07/06/2008,U,520542,324341,844883
11/22/2010,W,957125,667375,1624500
09/04/2021,A,288744,249857,538601
04/07/2018,A,466492,404650,871142
08/28/2017,W,761796,740387,1502183
09/02/2019,U,374967,328376,703343
09/16/2015,W,956622,840594,1797216
12/28/2023,W,392855,253397,646252
03/07/2011,W,889994,640899,1530893
01/17/2005,W,539410,349284,888694
02/11/2012,A,591333,399462,990795
10/31/2003,W,996142,628603,1624745
09/16/2023,A,352049,340865,692914
04/16/2012,W,996333,713598,1709931
06/23/2010,W,820493,627767,1448260
02/20/2007,W,1030943,626057,1657000
12/20/2021,W,346355,235596,581951
05/08/2014,W,968856,794388,1763244
01/05/2019,A,444434,348257,792691
03/26/2014,W,961287,734053,1695340
07/17/2005,U,443824,270831,714655
10/19/2001,W,956423,642121,1598544
10/25/2019,W,757907,729221,1487128
08/29/2012,W,1019369,757338,1776707
12/04/2006,W,962864,605349,1568213
01/31/2022,W,405219,253283,658502
12/29/2005,W,738031,481238,1219269
04/14/2009,W,1028849,642703,1671552
09/20/2003,A,618523,338787,957310
11/11/2009,W,908424,620355,1528779
01/06/2015,W,771953,679913,1451866
02/05/2022,A,222874,169731,392605
07/22/2012,U,481281,353089,834370
06/17/2015,W,869500,775968,1645468
04/05/2011,W,1063835,723943,1787778
06/22/2001,W,957514,626565,1584079
11/08/2020,U,166538,94199,260737
02/24/2020,W,789498,682036,1471534
09/06/2019,W,821645,744323,1565968
03/13/2003,W,978881,609896,1588777
03/01/2018,W,807973,724095,1532068
12/13/2014,A,575613,498945,1074558
01/14/2011,W,983953,656551,1640504
06/10/2001,U,438393,242257,680650
01/19/2024,W,462986,293650,756636
07/10/2012,W,958191,713798,1671989
03/02/2003,U,347417,182200,529617
04/11/2022,W,388543,276040,664583
05/23/2018,W,827983,774273,1602256
07/02/2010,W,948286,728895,1677181
09/22/2003,W,992288,638244,1630532
09/18/2017,W,866120,772443,1638563
07/06/2019,A,464539,390851,855390
01/10/2020,W,753866,654344,1408210
12/26/2008,W,564107,321342,885449
01/25/2001,W,1004257,609877,1614134
01/23/2018,W,795146,733662,1528808
11/21/2006,W,1022970,651230,1674200
04/03/2008,W,1112511,663802,1776313
06/09/2013,U,473625,393881,867506
05/29/2007,W,1024735,622662,1647397
09/19/2004,U,434873,237754,672627
01/22/2001,W,1005936,598777,1604713
10/07/2002,W,1086922,641838,1728760
07/03/2017,W,669915,543712,1213627
01/06/2018,A,372807,292077,664884
02/04/2017,A,461743,370873,832616
03/05/2005,A,625252,303912,929164
08/04/2007,A,646378,422115,1068493
01/29/2005,A,559310,277291,836601
02/19/2019,W,812492,725195,1537687
09/09/2010,W,1053439,729328,1782767
04/02/2012,W,935073,696533,1631606
08/13/2019,W,715539,697693,1413232
06/27/2011,W,915375,702396,1617771
08/04/2018,A,480664,521622,1002286
12/07/2022,W,501570,348450,850020
05/20/2012,U,445099,374706,819805
12/08/2020,W,277139,137145,414284
10/30/2016,U,377290,446582,823872
05/20/2011,W,1027404,710957,1738361
06/24/2006,A,607951,371810,979761
09/12/2014,W,929062,817716,1746778
11/12/2020,W,305497,158496,463993
10/14/2009,W,1077269,703009,1780278
10/14/2001,U,409065,209437,618502
10/04/2011,W,1090878,767029,1857907
09/29/2004,W,1026441,651246,1677687
07/25/2004,U,425968,250189,676157
08/17/2009,W,854426,594551,1448977
09/10/2005,A,662248,379906,1042154
07/07/2024,U,304485,241639,546124
08/03/2016,W,822281,785246,1607527
12/11/2023,W,517482,326238,843720
05/15/2015,W,921190,804671,1725861
01/25/2002,W,1028432,601352,1629784
07/21/2005,W,920983,610460,1531443
11/03/2003,W,1007989,614598,1622587
06/20/2020,A,221620,81634,303254
09/19/2012,W,1090006,805444,1895450
03/29/2002,W,755230,472276,1227506
08/06/2018,W,688147,687412,1375559
05/08/2023,W,469174,325860,795034
04/01/2018,U,305848,238356,544204
02/09/2023,W,456891,326676,783567
12/25/2008,U,238727,113322,352049
06/23/2004,W,858709,578302,1437011
01/09/2024,W,478685,330005,808690
11/28/2009,A,587950,342511,930461
02/26/2004,W,973201,598172,1571373
06/28/2024,W,519127,372226,891353
08/10/2015,W,772518,716242,1488760
11/08/2016,W,880506,791870,1672376
01/07/2012,A,583725,390564,974289
06/09/2005,W,1000130,622726,1622856
01/17/2014,W,909353,743024,1652377
01/14/2016,W,859099,758116,1617215
02/14/2022,W,400492,260703,661195
07/28/2006,W,900144,673789,1573933
11/14/2021,U,191694,153282,344976
06/01/2020,W,146931,27517,174448
08/18/2011,W,951134,707426,1658560
02/13/2005,U,384592,194152,578744
08/30/2013,W,1025684,740853,1766537
01/22/2011,A,522699,330666,853365
08/25/2005,W,907614,590749,1498363
06/26/2019,W,778502,758880,1537382
10/19/2022,W,525153,378834,903987
03/31/2022,W,446918,313624,760542
12/21/2021,W,343757,224928,568685
12/25/2005,U,263158,105718,368876
08/29/2021,U,215493,180030,395523
08/13/2024,W,561949,432482,994431
08/11/2021,W,364185,258741,622926
08/22/2008,W,1009399,677130,1686529
05/18/2016,W,856701,757395,1614096
12/31/2011,A,583259,408205,991464
01/08/2010,W,937662,597434,1535096
11/22/2022,W,435161,314006,749167
10/23/2016,U,388470,366503,754973
08/27/2015,W,858460,803728,1662188
08/19/2004,W,861625,560944,1422569
04/09/2011,A,675312,462038,1137350
11/27/2022,U,190990,145822,336812
02/18/2011,W,1053474,710682,1764156
01/08/2002,W,973200,585667,1558867
02/06/2014,W,888288,753787,1642075
04/15/2010,W,1040113,728178,1768291
03/30/2021,W,324218,170588,494806
09/01/2011,W,1047270,739620,1786890
08/08/2008,W,1041165,713105,1754270
01/04/2004,U,303611,162880,466491
11/29/2009,U,399383,238190,637573
12/21/2018,W,727571,633479,1361050
07/14/2020,W,312379,152758,465137
01/15/2008,W,1013209,616432,1629641
09/23/2004,W,1044192,639139,1683331
11/13/2001,W,1026715,641101,1667816
01/05/2004,W,894467,548650,1443117
07/13/2022,W,462243,357923,820166
12/30/2023,A,340207,212901,553108
01/15/2017,U,328355,280852,609207
04/07/2013,U,440588,357215,797803
06/19/2020,W,303502,125162,428664
02/08/2019,W,710682,655823,1366505
05/03/2023,W,555155,381538,936693
09/28/2015,W,929278,829791,1759069
04/26/2012,W,1044469,760338,1804807
07/17/2015,W,822257,809549,1631806
07/20/2008,U,546570,284611,831181
11/27/2002,W,946620,584367,1530987
05/04/2002,A,660227,312131,972358
01/25/2014,A,490314,396641,886955
12/06/2022,W,491402,343974,835376
08/03/2006,W,911057,656020,1567077
11/03/2016,W,919828,891357,1811185
03/01/2016,W,859775,741922,1601697
10/15/2012,W,1071312,776921,1848233
06/04/2009,W,1078827,665490,1744317
08/12/2016,W,700723,715035,1415758
04/23/2011,A,644228,421767,1065995
03/31/2019,U,324724,264228,588952
02/28/2020,W,786008,665937,1451945
07/02/2006,U,440041,343944,783985
07/16/2007,W,939642,627282,1566924
08/04/2017,W,732776,827248,1560024
09/22/2002,U,416973,215142,632115
02/14/2014,W,961152,778342,1739494
02/11/2022,W,413489,269373,682862
09/21/2009,W,1076200,692304,1768504
09/14/2013,A,632081,504797,1136878
10/12/2011,W,1068602,776561,1845163
11/05/2012,W,1069691,766701,1836392
03/09/2023,W,498577,352220,850797
01/21/2006,A,542740,308378,851118
10/23/2021,A,288871,244421,533292
12/27/2013,W,659876,531774,1191650
04/11/2024,W,557100,397195,954295
11/28/2001,W,981842,614405,1596247
11/10/2017,W,741017,721331,1462348
04/13/2009,W,937261,619681,1556942
03/15/2020,U,256591,166575,423166
03/13/2007,W,1053169,648460,1701629
01/05/2002,A,542470,245820,788290
09/09/2006,A,609019,386190,995209
01/16/2004,W,969715,578153,1547868
09/06/2005,W,1094714,647343,1742057
10/28/2022,W,501985,352842,854827
04/26/2022,W,476474,323321,799795
01/26/2017,W,823395,750472,1573867
03/31/2011,W,958648,709483,1668131
11/28/2020,A,198860,97141,296001
07/21/2015,W,848416,782194,1630610
08/18/2021,W,387316,265679,652995
06/24/2011,W,923487,714821,1638308
10/04/2021,W,453108,297717,750825
06/10/2004,W,927625,614363,1541988
08/09/2003,A,638279,371415,1009694
10/28/2017,A,472503,422323,894826
12/16/2019,W,743694,648766,1392460
11/07/2006,W,1033037,651606,1684643
03/07/2016,W,866171,739174,1605345
06/26/2004,A,611676,374748,986424
11/27/2003,U,292469,153251,445720
12/07/2001,W,1023743,618300,1642043
04/10/2003,W,1007977,624279,1632256
11/28/2021,U,184817,147830,332647
04/06/2004,W,977036,585618,1562654
05/05/2012,A,666613,497814,1164427
12/28/2014,U,353263,283343,636606
07/04/2017,U,407991,389791,797782
08/11/2024,U,335905,277892,613797
07/06/2004,W,877429,556428,1433857
10/15/2006,U,420083,260059,680142
04/08/2008,W,1063269,628618,1691887
09/27/2016,W,889769,795780,1685549
11/05/2013,W,982549,795511,1778060
07/16/2014,W,844384,752925,1597309
06/03/2022,W,494862,353934,848796
05/24/2024,W,557209,368883,926092
09/16/2008,W,1168626,731344,1899970
